id,resposta
pc2025_01_pn_32,C
pc2025_01_pn_33,E
pc2025_01_pn_34,B
pc2025_01_pn_35,D
pc2025_01_pn_36,C
pc2025_01_pn_37,A
pc2025_01_pn_38,B
pc2025_01_pn_39,A
pc2025_01_pn_40,A
pc2025_01_ppn_41,B
pc2025_01_ppn_42,B
pc2025_01_ppn_43,B
pc2025_01_ppn_44,C
pc2025_01_ppn_45,C
pc2025_01_ppn_46,D
pc2025_01_ppn_47,C
pc2025_01_ppn_48,D
pc2025_01_ppn_49,A
pc2025_01_ppn_50,B
pc2025_01_cn_51,A
pc2025_01_cn_52,A
pc2025_01_cn_53,A
pc2025_01_cn_54,E
pc2025_01_cn_55,C
pc2025_01_cn_56,D
pc2025_01_adm_57,A
pc2025_01_adm_58,B
pc2025_01_adm_59,D
pc2025_01_adm_60,B
pc2025_01_adm_61,E
pc2025_01_adm_62,D
pc2025_01_lipc_63,D
pc2025_01_lipc_64,C
pc2025_01_lipc_65,D
pc2025_01_lipc_66,C
pc2025_02_pn_31,A
pc2025_02_pn_32,E
pc2025_02_pn_33,A
pc2025_02_pn_34,B
pc2025_02_pn_35,C
pc2025_02_pn_36,A
pc2025_02_pn_37,D
pc2025_02_pn_38,C
pc2025_02_pn_39,B
pc2025_02_pn_40,D
pc2025_02_cn_52,D
pc2025_02_cn_53,A
pc2025_02_cn_54,E
pc2025_02_cn_55,A
pc2025_02_cn_56,E
pc2025_02_adm_57,B
pc2025_02_adm_58,B
pc2025_02_adm_59,D
pc2025_02_adm_60,D
pc2025_02_adm_61,A
pc2025_02_adm_62,D
pc2025_02_lipc_64,D
pc2025_02_lipc_65,D
pc2025_02_lipc_66,C
pc2025_03_pn_31,A
pc2025_03_pn_32,A
pc2025_03_pn_33,B
pc2025_03_pn_34,D
pc2025_03_pn_35,A
pc2025_03_pn_36,D
pc2025_03_pn_37,B
pc2025_03_pn_38,E
pc2025_03_pn_39,C
pc2025_03_pn_40,C
pc2025_03_ppn_42,B
pc2025_03_ppn_43,A
pc2025_03_ppn_44,B
pc2025_03_ppn_45,B
pc2025_03_ppn_46,D
pc2025_03_ppn_47,D
pc2025_03_ppn_48,C
pc2025_03_ppn_49,B
pc2025_03_ppn_50,C
pc2025_03_cn_51,D
pc2025_03_cn_52,A
pc2025_03_cn_53,E
pc2025_03_cn_54,C
pc2025_03_cn_55,A
pc2025_03_cn_56,A
pc2025_03_adm_57,B
pc2025_03_adm_58,D
pc2025_03_adm_59,A
pc2025_03_adm_60,E
pc2025_03_adm_61,D
pc2025_03_adm_62,B
pc2025_03_lipc_64,C
pc2025_03_lipc_65,C
pc2025_03_lipc_66,D
pc2025_04_pn_32,C
pc2025_04_pn_33,D
pc2025_04_pn_34,D
pc2025_04_pn_35,A
pc2025_04_pn_36,A
pc2025_04_pn_37,C
pc2025_04_pn_38,A
pc2025_04_pn_39,E
pc2025_04_pn_40,B
pc2025_04_ppn_41,B
pc2025_04_ppn_42,C
pc2025_04_ppn_43,C
pc2025_04_ppn_44,D
pc2025_04_ppn_45,A
pc2025_04_ppn_46,B
pc2025_04_ppn_47,B
pc2025_04_ppn_48,D
pc2025_04_ppn_49,B
pc2025_04_ppn_50,C
pc2025_04_cn_51,A
pc2025_04_cn_52,E
pc2025_04_cn_53,A
pc2025_04_cn_54,D
pc2025_04_cn_55,C
pc2025_04_cn_56,A
pc2025_04_adm_57,B
pc2025_04_adm_58,D
pc2025_04_adm_59,D
pc2025_04_adm_60,E
pc2025_04_adm_61,B
pc2025_04_adm_62,A
pc2025_04_lipc_63,C
pc2025_04_lipc_64,D
pc2025_04_lipc_65,C
pc2025_04_lipc_66,D
